a =                1
b =                1
tau_a =                1
tau_b =              0.1
t =               50
delta =              0.2
               0               1               1
             0.2          0.8187          0.3879
             0.4          0.6703           0.174
             0.6          0.5488         0.09459
             0.8          0.4493         0.06148
               1          0.3679         0.04502
             1.2          0.3012         0.03509
             1.4          0.2466         0.02814
             1.6          0.2019         0.02284
             1.8          0.1653         0.01863
               2          0.1353         0.01523
             2.2          0.1108         0.01247
             2.4         0.09072          0.0102
             2.6         0.07428        0.008353
             2.8         0.06081        0.006838
               3         0.04979        0.005599
             3.2         0.04076        0.004584
             3.4         0.03338        0.003753
             3.6         0.02733        0.003073
             3.8         0.02237        0.002516
               4         0.01832         0.00206
             4.2           0.015        0.001686
             4.4         0.01228        0.001381
             4.6         0.01005         0.00113
             4.8         0.00823       0.0009255
               5        0.006738       0.0007577
             5.2        0.005517       0.0006204
             5.4        0.004517       0.0005079
             5.6        0.003698       0.0004159
             5.8        0.003028       0.0003405
               6        0.002479       0.0002788
             6.2         0.00203       0.0002282
             6.4        0.001662       0.0001869
             6.6        0.001361        0.000153
             6.8        0.001114       0.0001253
               7        0.000912       0.0001026
             7.2       0.0007467       8.396e-05
             7.4       0.0006113       6.874e-05
             7.6       0.0005005       5.628e-05
             7.8       0.0004098       4.608e-05
               8       0.0003355       3.773e-05
             8.2       0.0002747       3.089e-05
             8.4       0.0002249       2.529e-05
             8.6       0.0001841       2.071e-05
             8.8       0.0001508       1.695e-05
               9       0.0001234       1.388e-05
             9.2       0.0001011       1.136e-05
             9.4       8.274e-05       9.304e-06
             9.6       6.774e-05       7.617e-06
             9.8       5.546e-05       6.236e-06
              10       4.541e-05       5.106e-06
            10.2       3.718e-05        4.18e-06
            10.4       3.044e-05       3.423e-06
            10.6       2.492e-05       2.802e-06
            10.8        2.04e-05       2.294e-06
              11        1.67e-05       1.878e-06
            11.2       1.368e-05       1.538e-06
            11.4        1.12e-05       1.259e-06
            11.6       9.168e-06       1.031e-06
            11.8       7.506e-06        8.44e-07
              12       6.145e-06        6.91e-07
            12.2       5.031e-06       5.658e-07
            12.4       4.119e-06       4.632e-07
            12.6       3.373e-06       3.793e-07
            12.8       2.761e-06       3.105e-07
              13       2.261e-06       2.542e-07
            13.2       1.851e-06       2.081e-07
            13.4       1.515e-06       1.704e-07
            13.6       1.241e-06       1.395e-07
            13.8       1.016e-06       1.142e-07
              14       8.317e-07       9.352e-08
            14.2        6.81e-07       7.657e-08
            14.4       5.575e-07       6.269e-08
            14.6       4.565e-07       5.133e-08
            14.8       3.737e-07       4.202e-08
              15        3.06e-07       3.441e-08
            15.2       2.505e-07       2.817e-08
            15.4       2.051e-07       2.306e-08
            15.6       1.679e-07       1.888e-08
            15.8       1.375e-07       1.546e-08
              16       1.126e-07       1.266e-08
            16.2       9.216e-08       1.036e-08
            16.4       7.545e-08       8.485e-09
            16.6       6.178e-08       6.947e-09
            16.8       5.058e-08       5.687e-09
              17       4.141e-08       4.657e-09
            17.2        3.39e-08       3.812e-09
            17.4       2.776e-08       3.121e-09
            17.6       2.273e-08       2.556e-09
            17.8       1.861e-08       2.092e-09
              18       1.523e-08       1.713e-09
            18.2       1.247e-08       1.403e-09
            18.4       1.021e-08       1.148e-09
            18.6       8.361e-09       9.402e-10
            18.8       6.845e-09       7.697e-10
              19       5.604e-09       6.302e-10
            19.2       4.589e-09        5.16e-10
            19.4       3.757e-09       4.224e-10
            19.6       3.076e-09       3.459e-10
            19.8       2.518e-09       2.832e-10
              20       2.062e-09       2.318e-10
            20.2       1.688e-09       1.898e-10
            20.4       1.382e-09       1.554e-10
            20.6       1.132e-09       1.272e-10
            20.8       9.264e-10       1.042e-10
              21       7.585e-10       8.529e-11
            21.2        6.21e-10       6.983e-11
            21.4       5.084e-10       5.717e-11
            21.6       4.163e-10       4.681e-11
            21.8       3.408e-10       3.832e-11
              22        2.79e-10       3.138e-11
            22.2       2.285e-10       2.569e-11
            22.4        1.87e-10       2.103e-11
            22.6       1.531e-10       1.722e-11
            22.8       1.254e-10        1.41e-11
              23       1.027e-10       1.154e-11
            23.2       8.405e-11       9.451e-12
            23.4       6.881e-11       7.738e-12
            23.6       5.634e-11       6.335e-12
            23.8       4.613e-11       5.187e-12
              24       3.777e-11       4.247e-12
            24.2       3.092e-11       3.477e-12
            24.4       2.532e-11       2.847e-12
            24.6       2.073e-11       2.331e-12
            24.8       1.697e-11       1.908e-12
              25       1.389e-11       1.562e-12
            25.2       1.138e-11       1.279e-12
            25.4       9.313e-12       1.047e-12
            25.6       7.625e-12       8.574e-13
            25.8       6.243e-12        7.02e-13
              26       5.111e-12       5.747e-13
            26.2       4.185e-12       4.706e-13
            26.4       3.426e-12       3.853e-13
            26.6       2.805e-12       3.154e-13
            26.8       2.297e-12       2.583e-13
              27        1.88e-12       2.114e-13
            27.2       1.539e-12       1.731e-13
