a =                1
b =                1
tau_a =                1
tau_b =                1
t =               50
delta =              0.2
               0               1               1
             0.2          0.8187           0.983
             0.4          0.6703          0.9393
             0.6          0.5488          0.8792
             0.8          0.4493            0.81
               1          0.3679           0.737
             1.2          0.3012          0.6638
             1.4          0.2466           0.593
             1.6          0.2019           0.526
             1.8          0.1653          0.4638
               2          0.1353          0.4069
             2.2          0.1108          0.3554
             2.4         0.09072          0.3092
             2.6         0.07428           0.268
             2.8         0.06081          0.2317
               3         0.04979          0.1997
             3.2         0.04076          0.1716
             3.4         0.03338          0.1472
             3.6         0.02733           0.126
             3.8         0.02237          0.1077
               4         0.01832         0.09183
             4.2           0.015         0.07819
             4.4         0.01228         0.06648
             4.6         0.01005         0.05645
             4.8         0.00823         0.04787
               5        0.006738         0.04054
             5.2        0.005517          0.0343
             5.4        0.004517         0.02899
             5.6        0.003698         0.02448
             5.8        0.003028         0.02065
               6        0.002479          0.0174
             6.2         0.00203         0.01465
             6.4        0.001662         0.01233
             6.6        0.001361         0.01037
             6.8        0.001114        0.008713
               7        0.000912        0.007317
             7.2       0.0007467         0.00614
             7.4       0.0006113         0.00515
             7.6       0.0005005        0.004317
             7.8       0.0004098        0.003617
               8       0.0003355        0.003028
             8.2       0.0002747        0.002535
             8.4       0.0002249         0.00212
             8.6       0.0001841        0.001773
             8.8       0.0001508        0.001482
               9       0.0001234        0.001238
             9.2       0.0001011        0.001034
             9.4       8.274e-05        0.000863
             9.6       6.774e-05       0.0007202
             9.8       5.546e-05       0.0006008
              10       4.541e-05        0.000501
            10.2       3.718e-05       0.0004176
            10.4       3.044e-05        0.000348
            10.6       2.492e-05       0.0002899
            10.8        2.04e-05       0.0002415
              11        1.67e-05       0.0002011
            11.2       1.368e-05       0.0001674
            11.4        1.12e-05       0.0001393
            11.6       9.168e-06       0.0001159
            11.8       7.506e-06       9.637e-05
              12       6.145e-06       8.013e-05
            12.2       5.031e-06       6.662e-05
            12.4       4.119e-06       5.537e-05
            12.6       3.373e-06       4.601e-05
            12.8       2.761e-06       3.822e-05
              13       2.261e-06       3.175e-05
            13.2       1.851e-06       2.636e-05
            13.4       1.515e-06       2.189e-05
            13.6       1.241e-06       1.817e-05
            13.8       1.016e-06       1.508e-05
              14       8.317e-07       1.251e-05
            14.2        6.81e-07       1.038e-05
            14.4       5.575e-07       8.612e-06
            14.6       4.565e-07       7.143e-06
            14.8       3.737e-07       5.923e-06
              15        3.06e-07       4.911e-06
            15.2       2.505e-07       4.071e-06
            15.4       2.051e-07       3.374e-06
            15.6       1.679e-07       2.796e-06
            15.8       1.375e-07       2.317e-06
              16       1.126e-07        1.92e-06
            16.2       9.216e-08        1.59e-06
            16.4       7.545e-08       1.317e-06
            16.6       6.178e-08       1.091e-06
            16.8       5.058e-08       9.031e-07
              17       4.141e-08       7.477e-07
            17.2        3.39e-08        6.19e-07
            17.4       2.776e-08       5.124e-07
            17.6       2.273e-08        4.24e-07
            17.8       1.861e-08       3.509e-07
              18       1.523e-08       2.904e-07
            18.2       1.247e-08       2.402e-07
            18.4       1.021e-08       1.987e-07
            18.6       8.361e-09       1.644e-07
            18.8       6.845e-09        1.36e-07
              19       5.604e-09       1.124e-07
            19.2       4.589e-09       9.298e-08
            19.4       3.757e-09       7.688e-08
            19.6       3.076e-09       6.356e-08
            19.8       2.518e-09       5.255e-08
              20       2.062e-09       4.343e-08
            20.2       1.688e-09        3.59e-08
            20.4       1.382e-09       2.967e-08
            20.6       1.132e-09       2.452e-08
            20.8       9.264e-10       2.026e-08
              21       7.585e-10       1.674e-08
            21.2        6.21e-10       1.383e-08
            21.4       5.084e-10       1.143e-08
            21.6       4.163e-10       9.438e-09
            21.8       3.408e-10       7.795e-09
              22        2.79e-10       6.438e-09
            22.2       2.285e-10       5.317e-09
            22.4        1.87e-10       4.391e-09
            22.6       1.531e-10       3.626e-09
            22.8       1.254e-10       2.994e-09
              23       1.027e-10       2.472e-09
            23.2       8.405e-11        2.04e-09
            23.4       6.881e-11       1.684e-09
            23.6       5.634e-11        1.39e-09
            23.8       4.613e-11       1.148e-09
              24       3.777e-11       9.471e-10
            24.2       3.092e-11       7.817e-10
            24.4       2.532e-11        6.45e-10
            24.6       2.073e-11       5.323e-10
            24.8       1.697e-11       4.392e-10
              25       1.389e-11       3.624e-10
            25.2       1.138e-11        2.99e-10
            25.4       9.313e-12       2.466e-10
            25.6       7.625e-12       2.035e-10
            25.8       6.243e-12       1.678e-10
              26       5.111e-12       1.384e-10
            26.2       4.185e-12       1.142e-10
            26.4       3.426e-12       9.418e-11
            26.6       2.805e-12       7.767e-11
            26.8       2.297e-12       6.405e-11
              27        1.88e-12       5.282e-11
            27.2       1.539e-12       4.355e-11
            27.4        1.26e-12       3.591e-11
            27.6       1.032e-12       2.961e-11
            27.8       8.449e-13       2.441e-11
              28       6.917e-13       2.012e-11
