               x            f(x)
               0               0
            0.15     0.065896591
             0.3      0.13170451
            0.45      0.19733509
             0.6      0.26269966
            0.75      0.32770955
             0.9      0.39227608
            1.05      0.45631059
             1.2       0.5197244
            1.35      0.58242886
             1.5      0.64433527
            1.65      0.70535498
             1.8      0.76539932
            1.95      0.82437961
             2.1      0.88220718
            2.25      0.93879336
             2.4      0.99404949
            2.55       1.0478869
             2.7       1.1002169
            2.85       1.1509508
               3             1.2
            3.15       1.2467411
             3.3       1.2917662
            3.45       1.3351331
             3.6       1.3768991
            3.75       1.4171218
             3.9       1.4558587
            4.05       1.4931674
             4.2       1.5291054
            4.35       1.5637302
             4.5       1.5970994
            4.65       1.6292704
             4.8       1.6603009
            4.95       1.6902483
             5.1       1.7191675
            5.25       1.7470828
             5.4       1.7739986
            5.55       1.7999192
             5.7       1.8248485
            5.85       1.8487908
               6       1.8717502
            6.15       1.8937309
             6.3       1.9147369
            6.45       1.9347724
             6.6       1.9538416
            6.75       1.9719486
             6.9       1.9890976
            7.05       2.0052921
             7.2       2.0205069
            7.35       2.0346718
             7.5       2.0477126
            7.65       2.0595553
             7.8       2.0701258
            7.95         2.07935
             8.1       2.0871539
            8.25       2.0934632
             8.4        2.098204
            8.55       2.1013022
             8.7       2.1026836
            8.85       2.1022743
               9             2.1
            9.15        2.096929
             9.3       2.0921744
            9.45        2.085992
             9.6        2.078637
            9.75       2.0703651
             9.9       2.0614318
           10.05       2.0520926
            10.2        2.042603
           10.35       2.0332185
            10.5       2.0241946
           10.65       2.0157868
            10.8       2.0082507
           10.95       2.0018417
            11.1       1.9904505
           11.25       1.9755748
            11.4       1.9576034
           11.55       1.9337983
            11.7       1.9014214
           11.85       1.8577347
              12             1.8
           12.15       1.7266472
            12.3       1.6407777
           12.45       1.5466609
            12.6        1.448566
           12.75       1.3507626
            12.9       1.2575198
           13.05       1.1730922
            13.2       1.1008422
           13.35       1.0427494
            13.5       1.0006744
           13.65      0.97647811
            13.8      0.97202109
           13.95      0.98916407
            14.1       1.0294975
           14.25         1.09147
            14.4       1.1715031
           14.55       1.2659849
            14.7        1.371303
           14.85       1.4838454
              15             1.6
